epoch,step,test_MulticlassAccuracy,test_MulticlassF1Score,test_MulticlassPrecision,test_MulticlassRecall,test_loss,train_MulticlassAccuracy,train_MulticlassF1Score,train_MulticlassPrecision,train_MulticlassRecall,train_loss,val_MulticlassAccuracy,val_MulticlassF1Score,val_MulticlassPrecision,val_MulticlassRecall,val_loss
0,66,,,,,,,,,,,0.7018812894821167,0.7204579710960388,0.7326973676681519,0.7200839519500732,0.8380288481712341
0,66,,,,,,0.5217761397361755,0.5453866720199585,0.555224597454071,0.5590294003486633,1.247087001800537,,,,,
1,133,,,,,,,,,,,0.8118373155593872,0.8314862847328186,0.8379407525062561,0.8306508660316467,0.5157697200775146
1,133,,,,,,0.7664821147918701,0.785070538520813,0.7847354412078857,0.7886140942573547,0.6217624545097351,,,,,
2,200,,,,,,,,,,,0.873317539691925,0.885600209236145,0.889542818069458,0.8852344155311584,0.38647541403770447
2,200,,,,,,0.845170795917511,0.8585002422332764,0.858567476272583,0.8595426082611084,0.42611581087112427,,,,,
3,267,,,,,,,,,,,0.8769093751907349,0.8841946125030518,0.8931262493133545,0.8838348388671875,0.35909971594810486
3,267,,,,,,0.876377522945404,0.8874759674072266,0.8876796960830688,0.8880075216293335,0.33114758133888245,,,,,
4,334,,,,,,,,,,,0.8895072340965271,0.9016795754432678,0.9065837860107422,0.9020293951034546,0.29642075300216675
4,334,,,,,,0.9065428972244263,0.9146995544433594,0.914695143699646,0.9150723218917847,0.2523461878299713,,,,,
5,401,,,,,,,,,,,0.9026570320129395,0.9134106040000916,0.9169774055480957,0.9139257669448853,0.2651436924934387
5,401,,,,,,0.9313347339630127,0.9366856217384338,0.9366680383682251,0.9367709159851074,0.20316298305988312,,,,,
6,468,,,,,,,,,,,0.9078998565673828,0.919891893863678,0.92320716381073,0.9202239513397217,0.24223592877388
6,468,,,,,,0.9400467276573181,0.945481538772583,0.9454922080039978,0.9456369876861572,0.16610093414783478,,,,,
7,535,,,,,,,,,,,0.9158640503883362,0.9246981143951416,0.9273580312728882,0.9251224994659424,0.22624775767326355
7,535,,,,,,0.9480438828468323,0.9536937475204468,0.9537878632545471,0.9538030624389648,0.14135651290416718,,,,,
8,602,,,,,,,,,,,0.9163625240325928,0.928278386592865,0.9317114353179932,0.9286214113235474,0.22099630534648895
8,602,,,,,,0.9615009427070618,0.9651606678962708,0.9651718139648438,0.9652356505393982,0.1140235885977745,,,,,
9,669,,,,,,,,,,,0.9198715686798096,0.9331792593002319,0.9364897608757019,0.9335199594497681,0.2101648598909378
9,669,,,,,,0.9685122966766357,0.9703556299209595,0.9703841209411621,0.9703686237335205,0.09845241904258728,,,,,
10,736,,,,,,,,,,,0.9162691235542297,0.9322235584259033,0.9350360035896301,0.932820200920105,0.20380915701389313
10,736,,,,,,0.9744955897331238,0.9766508340835571,0.9766706228256226,0.9766681790351868,0.07749489694833755,,,,,
11,803,,,,,,,,,,,0.9309808015823364,0.9422623515129089,0.9448027610778809,0.9426172375679016,0.18730604648590088
11,803,,,,,,0.9744293689727783,0.9766457676887512,0.9766579270362854,0.9766682386398315,0.07122259587049484,,,,,
12,870,,,,,,,,,,,0.9255889654159546,0.9372187256813049,0.9408230185508728,0.9370189309120178,0.20887117087841034
12,870,,,,,,0.9857563972473145,0.9871602654457092,0.9871913194656372,0.9871675372123718,0.05141362175345421,,,,,
13,937,,,,,,,,,,,0.926192581653595,0.9389870166778564,0.9415576457977295,0.9391182661056519,0.19257189333438873
13,937,,,,,,0.9849827289581299,0.986236572265625,0.9862421154975891,0.9862342476844788,0.05094923824071884,,,,,
14,1004,,,,,,,,,,,0.9237415790557861,0.9340341091156006,0.9363999366760254,0.9342197775840759,0.19747139513492584
14,1004,,,,,,0.9876571893692017,0.9887936115264893,0.9887977838516235,0.9888007044792175,0.04189596325159073,,,,,
15,1071,,,,,,,,,,,0.9280140399932861,0.9388378858566284,0.9398266077041626,0.9391182661056519,0.20223280787467957
15,1071,,,,,,0.9866085052490234,0.987629771232605,0.987637460231781,0.9876341819763184,0.04196171835064888,,,,,
16,1138,,,,,,,,,,,0.9298000931739807,0.9402463436126709,0.9420169591903687,0.940517783164978,0.18866606056690216
16,1138,,,,,,0.9886255860328674,0.9892660975456238,0.9892767071723938,0.9892673492431641,0.03805014118552208,,,,,
17,1139,0.9409830570220947,0.9461302757263184,0.9473932981491089,0.9461161494255066,0.21069534122943878,,,,,,,,,,
